name,esr_code,settlement_name,latitude,longitude,region
Шакша,655304,Шакша,52.1072222222222,112.705277777778,
Шалаево,439964,Шалаево,56.6838888888889,42.7541666666667,
Шалакуша,294007,Шалакуша,62.2252777777778,40.2536111111111,
Шалегово,268429,Шалегово,58.3258333333333,48.9077777777778,
Шаля,783002,Шаля,57.25,58.73,
Шамары,764306,Шамары,57.9319444444444,37.6922222222222,
Шамхал,543000,Шамхал,43.0580555555556,47.3405555555556,
Шапки,031507,Шапки,58.2583333333333,47.8933333333333,
Шар,709105,Шар,52.5305555555556,54.3461111111111,
Шарапова Охота,190402,Шарапова,57.3836111111111,62.6186111111111,
Шарлово,643406,Шарлово,53.9641666666667,46.8488888888889,
